,,counts,frequencies,CI
cyrl.ha,х,11.0,0.21,"(0.11, 0.34)"
cyrl.o,о,38.0,0.72,"(0.58, 0.83)"
cyrl.te,т,4.0,0.08,"(0.02, 0.18)"
