,,counts,frequencies,CI
cyrl.e,э,2.0,0.04,"(0.0, 0.13)"
cyrl.o,о,7.0,0.13,"(0.05, 0.25)"
cyrl.shcha,щ,44.0,0.83,"(0.7, 0.92)"
