,,counts,frequencies,CI
cyrl.e,э,38.0,0.72,"(0.58, 0.83)"
cyrl.ha,х,4.0,0.08,"(0.02, 0.18)"
cyrl.pe,п,11.0,0.21,"(0.11, 0.34)"
