,,counts,frequencies,CI
cyrl.e,э,38.0,0.72,"(0.58, 0.83)"
cyrl.ha,х,8.0,0.15,"(0.07, 0.28)"
cyrl.te,т,7.0,0.13,"(0.05, 0.25)"
