,,counts,frequencies,CI
cyrl.e,э,27.0,0.51,"(0.37, 0.65)"
cyrl.shcha,щ,17.0,0.32,"(0.2, 0.46)"
cyrl.te,т,9.0,0.17,"(0.08, 0.3)"
