,,counts,frequencies,CI
cyrl.e,э,58.0,0.94,"(0.84, 0.98)"
cyrl.ghe,г,1.0,0.02,"(0.0, 0.09)"
cyrl.te,т,3.0,0.05,"(0.01, 0.13)"
