,,counts,frequencies,CI
deva.Jha,झ,39.0,0.81,"(0.67, 0.91)"
deva.Ttha,ठ,4.0,0.08,"(0.02, 0.2)"
deva.Va,व,5.0,0.1,"(0.03, 0.23)"
