,,counts,frequencies,CI
deva.Ca,च,5.0,0.09,"(0.03, 0.19)"
deva.Jha,झ,43.0,0.75,"(0.62, 0.86)"
deva.Nya,ञ,9.0,0.16,"(0.07, 0.28)"
