,,counts,frequencies,CI
deva.Bha,भ,8.0,0.17,"(0.07, 0.3)"
deva.Jha,झ,18.0,0.38,"(0.24, 0.53)"
deva.Va,व,22.0,0.46,"(0.31, 0.61)"
