,,counts,frequencies,CI
deva.Ca,च,15.0,0.26,"(0.16, 0.4)"
deva.Jha,झ,24.0,0.42,"(0.29, 0.56)"
deva.Ma,म,18.0,0.32,"(0.2, 0.45)"
