,,counts,frequencies,CI
deva.Bha,भ,18.0,0.38,"(0.24, 0.53)"
deva.Jha,झ,10.0,0.21,"(0.1, 0.35)"
deva.Nya,ञ,20.0,0.42,"(0.28, 0.57)"
