,,counts,frequencies,CI
deva.Ca,च,4.0,0.07,"(0.02, 0.17)"
deva.Ma,म,33.0,0.58,"(0.44, 0.71)"
deva.Ttha,ठ,20.0,0.35,"(0.23, 0.49)"
