,,counts,frequencies,CI
deva.Bha,भ,4.0,0.07,"(0.02, 0.17)"
deva.Ma,म,6.0,0.11,"(0.04, 0.22)"
deva.Nya,ञ,47.0,0.82,"(0.7, 0.91)"
