,,counts,frequencies,CI
deva.Jha,झ,19.0,0.33,"(0.21, 0.47)"
deva.Ma,म,4.0,0.07,"(0.02, 0.17)"
deva.Ra,र,34.0,0.6,"(0.46, 0.72)"
