,,counts,frequencies,CI
deva.Ca,च,4.0,0.07,"(0.02, 0.17)"
deva.Jha,झ,32.0,0.56,"(0.42, 0.69)"
deva.Ttha,ठ,21.0,0.37,"(0.24, 0.51)"
