,,counts,frequencies,CI
deva.Jha,झ,22.0,0.39,"(0.26, 0.52)"
deva.Ra,र,21.0,0.37,"(0.24, 0.51)"
deva.Ttha,ठ,14.0,0.25,"(0.14, 0.38)"
