,,counts,frequencies,CI
deva.Ma,म,35.0,0.73,"(0.58, 0.85)"
deva.Ttha,ठ,8.0,0.17,"(0.07, 0.3)"
deva.Va,व,5.0,0.1,"(0.03, 0.23)"
