,,counts,frequencies,CI
deva.Bha,भ,3.0,0.06,"(0.01, 0.17)"
deva.Jha,झ,18.0,0.38,"(0.24, 0.53)"
deva.Ra,र,27.0,0.56,"(0.41, 0.71)"
