,,counts,frequencies,CI
deva.Ca,च,8.0,0.17,"(0.07, 0.3)"
deva.Ma,म,12.0,0.25,"(0.14, 0.4)"
deva.Ra,र,28.0,0.58,"(0.43, 0.72)"
