,,counts,frequencies,CI
deva.Jha,झ,14.0,0.29,"(0.17, 0.44)"
deva.Nya,ञ,4.0,0.08,"(0.02, 0.2)"
deva.Ttha,ठ,30.0,0.62,"(0.47, 0.76)"
