,,counts,frequencies,CI
deva.Bha,भ,1.0,0.02,"(0.0, 0.11)"
deva.Ma,म,5.0,0.1,"(0.03, 0.23)"
deva.Ra,र,42.0,0.88,"(0.75, 0.95)"
