,,latn.d,latn.i,latn.j,latn.o,latn.p,latn.r,latn.v,latn.x
,,d,i,j,o,p,r,v,x
latn.d,d,,0.16,0.22,0.73,0.94,0.36,0.15,0.08
latn.i,i,0.16,,0.95,0.09,0.14,0.53,0.24,0.18
latn.j,j,0.22,0.95,,0.12,0.27,0.43,0.15,0.1
latn.o,o,0.73,0.09,0.12,,0.72,0.24,0.28,0.21
latn.p,p,0.94,0.14,0.27,0.72,,0.44,0.14,0.1
latn.r,r,0.36,0.53,0.43,0.24,0.44,,0.31,0.23
latn.v,v,0.15,0.24,0.15,0.28,0.14,0.31,,0.85
latn.x,x,0.08,0.18,0.1,0.21,0.1,0.23,0.85,
