,,counts,frequencies,CI
cyrl.el,л,47.0,0.7,"(0.58, 0.81)"
cyrl.o,о,16.0,0.24,"(0.14, 0.36)"
cyrl.yu,ю,4.0,0.06,"(0.02, 0.15)"
