,,counts,frequencies,CI
cyrl.el,л,5.0,0.07,"(0.02, 0.17)"
cyrl.es,с,58.0,0.87,"(0.76, 0.94)"
cyrl.ka,к,4.0,0.06,"(0.02, 0.15)"
