,,counts,frequencies,CI
cyrl.el,л,3.0,0.04,"(0.01, 0.13)"
cyrl.es,с,62.0,0.93,"(0.83, 0.98)"
cyrl.tse,ц,2.0,0.03,"(0.0, 0.1)"
