,,counts,frequencies,CI
cyrl.el,л,1.0,0.01,"(0.0, 0.08)"
cyrl.ka,к,7.0,0.1,"(0.04, 0.2)"
cyrl.o,о,59.0,0.88,"(0.78, 0.95)"
