,,counts,frequencies,CI
cyrl.es,с,12.0,0.18,"(0.1, 0.29)"
cyrl.o,о,7.0,0.1,"(0.04, 0.2)"
cyrl.yu,ю,48.0,0.72,"(0.59, 0.82)"
