,,counts,frequencies,CI
cyrl.el,л,6.0,0.09,"(0.03, 0.18)"
cyrl.o,о,59.0,0.88,"(0.78, 0.95)"
cyrl.tse,ц,2.0,0.03,"(0.0, 0.1)"
